"","diff.fit","low","high","study","treat","bilat_0","age","se"
"12826",-0.0407371585667888,-0.228709449948376,0.164771991392816,"McCormick","Antibiotics","Bilateral",7.08,-0.228709449948376
"12828",-0.0768121960337889,-0.286125933741088,0.129689075716233,"McCormick","Antibiotics","Unilateral",7.1,-0.286125933741088
"12830",-0.0400139288051462,-0.228406962681603,0.165930595887556,"McCormick","Antibiotics","Bilateral",7.12,-0.228406962681603
"12832",-0.0773774334677545,-0.28854041397324,0.130701463202219,"McCormick","Antibiotics","Unilateral",7.14,-0.28854041397324
"12834",-0.0392979658065423,-0.228110517842668,0.167073304995146,"McCormick","Antibiotics","Bilateral",7.16,-0.228110517842668
"12836",-0.0779468160427385,-0.290967460856823,0.131709576865238,"McCormick","Antibiotics","Unilateral",7.18,-0.290967460856823
"12838",-0.0385892406664471,-0.227820162744562,0.168200179158197,"McCormick","Antibiotics","Bilateral",7.2,-0.227820162744562
"12840",-0.0785199750352349,-0.293405789935512,0.132712952261447,"McCormick","Antibiotics","Unilateral",7.22,-0.293405789935512
"12842",-0.0378877238103405,-0.227535941745111,0.169311280608745,"McCormick","Antibiotics","Bilateral",7.24,-0.227535941745111
"12844",-0.0790965368168375,-0.295854058212735,0.133711083774853,"McCormick","Antibiotics","Unilateral",7.26,-0.295854058212735
"12846",-0.0371933850111892,-0.227257896262944,0.170406673312476,"McCormick","Antibiotics","Bilateral",7.28,-0.227257896262944
"12848",-0.0796761291194265,-0.298310928012023,0.134703482990598,"McCormick","Antibiotics","Unilateral",7.3,-0.298310928012023
"12850",-0.0365061934076199,-0.226986064792249,0.171486422910965,"McCormick","Antibiotics","Bilateral",7.32,-0.226986064792249
"12852",-0.0802583816940049,-0.300775004899368,0.135689623148556,"McCormick","Antibiotics","Unilateral",7.34,-0.300775004899368
"12854",-0.0358261175221501,-0.226720482918993,0.172550596660363,"McCormick","Antibiotics","Bilateral",7.36,-0.226720482918993
"12856",-0.0808429230419311,-0.303244817470883,0.136668919977554,"McCormick","Antibiotics","Unilateral",7.38,-0.303244817470883
"12858",-0.0351531252788288,-0.226461183342867,0.173599263375504,"McCormick","Antibiotics","Bilateral",7.4,-0.226461183342867
"12860",-0.0814293808912356,-0.305718820048669,0.137640734129909,"McCormick","Antibiotics","Unilateral",7.42,-0.305718820048669
"12862",-0.0344871840207046,-0.22620819590222,0.174632493375599,"McCormick","Antibiotics","Bilateral",7.44,-0.22620819590222
"12864",-0.0820173809386793,-0.308195400616403,0.138604379747566,"McCormick","Antibiotics","Unilateral",7.46,-0.308195400616403
"12866",-0.0338282605267923,-0.225961547603793,0.175650358432801,"McCormick","Antibiotics","Bilateral",7.48,-0.225961547603793
"12868",-0.0826065425118556,-0.310672972068094,0.139559208590064,"McCormick","Antibiotics","Unilateral",7.5,-0.310672972068094
